 05-Oct-2006       (vang_036.da - 1.000 *Avrag00.dat) /  2.3000               
vang_036.dat  Conc = .23E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
 Avrag00.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
  0.972862E+00  0.173817E+02  0.255368E+00
  0.975138E+00  0.171917E+02  0.257218E+00
  0.977415E+00  0.166487E+02  0.254978E+00
  0.979691E+00  0.161322E+02  0.255525E+00
  0.981968E+00  0.160417E+02  0.252665E+00
  0.984245E+00  0.161791E+02  0.254451E+00
  0.986521E+00  0.166809E+02  0.254929E+00
  0.988798E+00  0.165570E+02  0.252042E+00
  0.991074E+00  0.162300E+02  0.253485E+00
  0.993351E+00  0.167304E+02  0.251366E+00
  0.995628E+00  0.159674E+02  0.253235E+00
  0.997904E+00  0.154057E+02  0.252187E+00
  0.100018E+01  0.152443E+02  0.249494E+00
  0.100246E+01  0.159339E+02  0.252331E+00
  0.100473E+01  0.160700E+02  0.249975E+00
  0.100701E+01  0.158939E+02  0.251569E+00
  0.100929E+01  0.151996E+02  0.249049E+00
  0.101156E+01  0.155061E+02  0.248717E+00
  0.101384E+01  0.153617E+02  0.249596E+00
  0.101612E+01  0.151426E+02  0.247302E+00
  0.101839E+01  0.151139E+02  0.250897E+00
  0.102067E+01  0.152139E+02  0.246970E+00
  0.102295E+01  0.149530E+02  0.248325E+00
  0.102522E+01  0.141126E+02  0.247073E+00
  0.102750E+01  0.143248E+02  0.245393E+00
  0.102978E+01  0.143230E+02  0.247313E+00
  0.103205E+01  0.143448E+02  0.245435E+00
  0.103433E+01  0.143261E+02  0.246776E+00
  0.103661E+01  0.142987E+02  0.244572E+00
  0.103888E+01  0.139713E+02  0.243812E+00
  0.104116E+01  0.137061E+02  0.245800E+00
  0.104344E+01  0.139509E+02  0.244076E+00
  0.104571E+01  0.139926E+02  0.244405E+00
  0.104799E+01  0.134670E+02  0.243588E+00
  0.105027E+01  0.134543E+02  0.243407E+00
  0.105254E+01  0.131874E+02  0.243433E+00
  0.105482E+01  0.135230E+02  0.242655E+00
  0.105710E+01  0.137522E+02  0.242563E+00
  0.105937E+01  0.130791E+02  0.239672E+00
  0.106165E+01  0.132770E+02  0.242832E+00
  0.106393E+01  0.135422E+02  0.241768E+00
  0.106620E+01  0.135504E+02  0.240269E+00
  0.106848E+01  0.130161E+02  0.239816E+00
  0.107075E+01  0.127470E+02  0.240019E+00
  0.107303E+01  0.129974E+02  0.241354E+00
  0.107531E+01  0.127613E+02  0.239413E+00
  0.107758E+01  0.130674E+02  0.239005E+00
  0.107986E+01  0.134465E+02  0.239345E+00
  0.108214E+01  0.129826E+02  0.238710E+00
  0.108441E+01  0.126509E+02  0.238823E+00
  0.108669E+01  0.129491E+02  0.236630E+00
  0.108897E+01  0.129383E+02  0.238455E+00
  0.109124E+01  0.124117E+02  0.238417E+00
  0.109352E+01  0.120457E+02  0.236481E+00
  0.109580E+01  0.120730E+02  0.237175E+00
  0.109807E+01  0.121530E+02  0.235194E+00
  0.110035E+01  0.118248E+02  0.237338E+00
  0.110263E+01  0.120004E+02  0.235824E+00
  0.110490E+01  0.118883E+02  0.234995E+00
  0.110718E+01  0.115865E+02  0.235041E+00
  0.110946E+01  0.116235E+02  0.233704E+00
  0.111173E+01  0.118648E+02  0.236705E+00
  0.111401E+01  0.116200E+02  0.233179E+00
  0.111629E+01  0.119761E+02  0.234103E+00
  0.111856E+01  0.117943E+02  0.234676E+00
  0.112084E+01  0.116296E+02  0.232428E+00
  0.112312E+01  0.116078E+02  0.234424E+00
  0.112539E+01  0.117022E+02  0.231265E+00
  0.112767E+01  0.113483E+02  0.233323E+00
  0.112995E+01  0.115078E+02  0.232584E+00
  0.113222E+01  0.113343E+02  0.231908E+00
  0.113450E+01  0.114130E+02  0.232090E+00
  0.113678E+01  0.116026E+02  0.229974E+00
  0.113905E+01  0.114943E+02  0.232924E+00
  0.114133E+01  0.111596E+02  0.230367E+00
  0.114361E+01  0.108774E+02  0.231175E+00
  0.114588E+01  0.109165E+02  0.229818E+00
  0.114816E+01  0.106609E+02  0.229854E+00
  0.115044E+01  0.108143E+02  0.230928E+00
  0.115271E+01  0.107783E+02  0.228269E+00
  0.115499E+01  0.109070E+02  0.229918E+00
  0.115727E+01  0.110174E+02  0.228857E+00
  0.115954E+01  0.108313E+02  0.228411E+00
  0.116182E+01  0.111326E+02  0.230002E+00
  0.116409E+01  0.106161E+02  0.226571E+00
  0.116637E+01  0.107761E+02  0.228674E+00
  0.116865E+01  0.107343E+02  0.228177E+00
  0.117092E+01  0.100365E+02  0.226589E+00
  0.117320E+01  0.992348E+01  0.227957E+00
  0.117548E+01  0.104870E+02  0.224737E+00
  0.117775E+01  0.102939E+02  0.228475E+00
  0.118003E+01  0.100735E+02  0.224512E+00
  0.118231E+01  0.980391E+01  0.226947E+00
  0.118458E+01  0.983087E+01  0.226016E+00
  0.118686E+01  0.970435E+01  0.225338E+00
  0.118914E+01  0.997348E+01  0.227028E+00
  0.119141E+01  0.102748E+02  0.223751E+00
  0.119369E+01  0.992913E+01  0.224887E+00
  0.119597E+01  0.987913E+01  0.225533E+00
  0.119824E+01  0.965478E+01  0.225749E+00
  0.120052E+01  0.964739E+01  0.227128E+00
  0.120280E+01  0.946217E+01  0.226454E+00
  0.120507E+01  0.963043E+01  0.227793E+00
  0.120735E+01  0.951043E+01  0.226302E+00
  0.120963E+01  0.939870E+01  0.227052E+00
  0.121190E+01  0.901217E+01  0.227362E+00
  0.121418E+01  0.922043E+01  0.225681E+00
  0.121646E+01  0.972522E+01  0.228821E+00
  0.121873E+01  0.928391E+01  0.226778E+00
  0.122101E+01  0.938522E+01  0.227495E+00
  0.122329E+01  0.948565E+01  0.228174E+00
  0.122556E+01  0.923696E+01  0.227364E+00
  0.122784E+01  0.896739E+01  0.228090E+00
  0.123012E+01  0.931348E+01  0.227062E+00
  0.123239E+01  0.927696E+01  0.227792E+00
  0.123467E+01  0.925609E+01  0.227518E+00
  0.123695E+01  0.940217E+01  0.228189E+00
  0.123922E+01  0.960043E+01  0.228125E+00
  0.124150E+01  0.943391E+01  0.226427E+00
  0.124378E+01  0.874870E+01  0.229115E+00
  0.124605E+01  0.861391E+01  0.226397E+00
  0.124833E+01  0.875435E+01  0.228203E+00
  0.125061E+01  0.917087E+01  0.227492E+00
  0.125288E+01  0.890652E+01  0.226602E+00
  0.125516E+01  0.858870E+01  0.229741E+00
  0.125744E+01  0.858130E+01  0.226944E+00
  0.125971E+01  0.904478E+01  0.227985E+00
  0.126199E+01  0.900696E+01  0.227468E+00
  0.126426E+01  0.868478E+01  0.227586E+00
  0.126654E+01  0.820261E+01  0.227886E+00
  0.126882E+01  0.841478E+01  0.225893E+00
  0.127109E+01  0.835565E+01  0.227798E+00
  0.127337E+01  0.860609E+01  0.227126E+00
  0.127565E+01  0.836913E+01  0.228096E+00
  0.127792E+01  0.816043E+01  0.227070E+00
  0.128020E+01  0.810565E+01  0.226093E+00
  0.128248E+01  0.825391E+01  0.227783E+00
  0.128475E+01  0.821261E+01  0.226722E+00
  0.128703E+01  0.784826E+01  0.227819E+00
  0.128931E+01  0.820391E+01  0.226189E+00
  0.129158E+01  0.815870E+01  0.226522E+00
  0.129386E+01  0.845870E+01  0.227428E+00
  0.129614E+01  0.800783E+01  0.226414E+00
  0.129841E+01  0.800783E+01  0.227104E+00
  0.130069E+01  0.804087E+01  0.225834E+00
  0.130297E+01  0.832174E+01  0.227469E+00
  0.130524E+01  0.823565E+01  0.226583E+00
  0.130752E+01  0.823652E+01  0.226311E+00
  0.130980E+01  0.828304E+01  0.226141E+00
  0.131207E+01  0.827870E+01  0.226375E+00
  0.131435E+01  0.817174E+01  0.227119E+00
  0.131663E+01  0.818826E+01  0.226129E+00
  0.131890E+01  0.765739E+01  0.225448E+00
  0.132118E+01  0.728261E+01  0.226980E+00
  0.132346E+01  0.765696E+01  0.225649E+00
  0.132573E+01  0.764652E+01  0.225990E+00
  0.132801E+01  0.792522E+01  0.224866E+00
  0.133029E+01  0.765043E+01  0.226838E+00
  0.133256E+01  0.778957E+01  0.226514E+00
  0.133484E+01  0.752913E+01  0.225038E+00
  0.133712E+01  0.740043E+01  0.226314E+00
  0.133939E+01  0.734522E+01  0.224449E+00
  0.134167E+01  0.712435E+01  0.226443E+00
  0.134395E+01  0.738913E+01  0.226081E+00
  0.134622E+01  0.722522E+01  0.224256E+00
  0.134850E+01  0.740826E+01  0.226449E+00
  0.135078E+01  0.698087E+01  0.223741E+00
  0.135305E+01  0.668696E+01  0.225873E+00
  0.135533E+01  0.740130E+01  0.224962E+00
  0.135760E+01  0.771348E+01  0.224008E+00
  0.135988E+01  0.698348E+01  0.226158E+00
  0.136216E+01  0.751826E+01  0.223289E+00
  0.136443E+01  0.708957E+01  0.226097E+00
  0.136671E+01  0.708870E+01  0.222683E+00
  0.136899E+01  0.665435E+01  0.224755E+00
  0.137126E+01  0.644174E+01  0.225703E+00
  0.137354E+01  0.701478E+01  0.223114E+00
  0.137582E+01  0.727826E+01  0.225519E+00
  0.137809E+01  0.684609E+01  0.223186E+00
  0.138037E+01  0.716913E+01  0.226034E+00
  0.138265E+01  0.684565E+01  0.224308E+00
  0.138492E+01  0.699870E+01  0.223057E+00
  0.138720E+01  0.700870E+01  0.225141E+00
